"","Name","Total"
"11706","Jasmine",5418
"10840","Ivy",5295
"25385","Ximena",5271
"12743","Josephine",5261
"16398","London",5248
"11028","Jade",5244
"8258","Emilia",5234
"409","Adalynn",5199
"8727","Everly",5197
"13916","Kayla",5186
"4542","Brielle",5181
"16166","Liliana",5180
"2096","Andrea",5175
"14785","Kimberly",5157
"17649","Mary",5107
"18670","Morgan",4999
"15715","Lauren",4997
"23605","Sydney",4962
"8237","Emery",4825
"10740","Isla",4774
"24537","Trinity",4718
"405","Adalyn",4628
"12518","Jocelyn",4535
"2652","Ariel",4516
"16629","Lyla",4475
"12695","Jordyn",4460
"16209","Lilly",4429
"20129","Paige",4328
"17412","Margaret",4305
"18140","Melody",4301
"10678","Isabel",4256
"18617","Molly",4226
"3073","Athena",4208
"17093","Makayla",4166
"7628","Eden",4128
"17986","Mckenzie",4106
"18773","Mya",4098
"19439","Nicole",4049
"19655","Norah",4042
"24830","Valeria",4008
"4688","Brooke",4002
"17432","Mariah",4002
"22325","Sara",3995
"1415","Aliyah",3957
"21675","Rose",3954
"20262","Payton",3899
"14264","Kendall",3885
"1916","Amy",3865
"12910","Juliana",3845
"16400","Londyn",3829
"24831","Valerie",3826
"15478","Laila",3821
"2180","Angelina",3806
"19683","Nova",3790
"20634","Rachel",3776
"20682","Raelynn",3768
"15919","Leilani",3753
"7919","Elise",3746
"9547","Gracie",3745
"8232","Emerson",3736
"7949","Eliza",3679
"1366","Alina",3669
"21071","Reese",3668
"5363","Cecilia",3590
"1060","Alaina",3577
"21916","Ryleigh",3532
"4699","Brooklynn",3531
"2880","Arya",3529
"9323","Genevieve",3494
"6240","Daisy",3480
"24020","Teagan",3469
"5306","Catherine",3459
"9974","Harmony",3448
"8600","Esther",3403
"2513","Arabella",3397
"24852","Vanessa",3380
"521","Adelyn",3336
"9017","Finley",3320
"20483","Presley",3315
"5483","Charlie",3308
"6431","Daniela",3304
"12914","Julianna",3303
"7109","Destiny",3285
"21042","Rebecca",3281
"10073","Hayden",3277
"23522","Summer",3268
"18303","Michelle",3258
"10661","Iris",3235
"633","Adriana",3212
"4980","Callie",3208
"16155","Lila",3199
"2045","Anastasia",3193
"1077","Alana",3180
"1706","Amaya",3096
"12933","Juliette",3095
"9034","Fiona",3039
"9196","Gabrielle",3007
"1270","Alexandria",2989
"2164","Angela",2988
"17562","Marley",2984
"1402","Alivia",2969
"1938","Ana",2965
"16524","Lucia",2960
"12338","Jessica",2957
"9473","Giselle",2941
"24150","Tessa",2939
"23406","Stephanie",2924
"20184","Parker",2912
"1122","Alayna",2887
"13792","Kate",2856
"17115","Makenzie",2844
"9346","Georgia",2838
"16389","Lola",2822
"8092","Eloise",2815
"23025","Sienna",2801
"398","Adaline",2775
"11874","Jayla",2759
"10347","Hope",2757
"4766","Brynlee",2745
"12928","Juliet",2744
"6304","Daleyza",2741
"6267","Dakota",2735
"25076","Vivienne",2701
"15914","Leila",2686
"13250","Kaitlyn",2650
"14839","Kinley",2648
"16947","Maggie",2640
"12762","Josie",2636
"10867","Izabella",2626
"4937","Cali",2624
"5056","Camille",2606
"9950","Harley",2549
"17981","Mckenna",2544
"8671","Evangeline",2543
"19615","Noelle",2542
"6862","Delaney",2523
"18126","Melissa",2504
"9189","Gabriela",2502
"22433","Sawyer",2491
"15295","Kylee",2461
"2248","Aniyah",2455
"4773","Brynn",2455
"12166","Jennifer",2434
"9305","Gemma",2433
"21652","Rosalie",2428
"3537","Ayla",2425
"492","Adelaide",2384
"20177","Paris",2364
"16759","Maci",2362
"19881","Olive",2360
"11008","Jacqueline",2359
"5269","Cassidy",2344
"12800","Journey",2342
"14138","Keira",2340
"21727","Rowan",2329
"8019","Elliana",2325
"12678","Jordan",2325
"12501","Joanna",2322
"12964","June",2311
"16194","Lilliana",2295
"15948","Lena",2294
"20660","Raegan",2294
"1460","Allie",2292
"1860","Amiyah",2288
"7760","Elaina",2285
"18506","Miranda",2269
"7237","Diana",2262
"524","Adelynn",2261
"13320","Kali",2261
"17247","Malia",2254
"13794","Katelyn",2244
"11529","Jane",2240
"16540","Lucille",2237
"16702","Lyric",2235
"5467","Charlee",2216
"1245","Alessandra",2203
"18520","Miriam",2198
"17442","Mariana",2192
"23180","Sloane",2182
"21847","Ruth",2180
"23777","Talia",2171
"1832","Amina",2161
"20136","Paislee",2139
"20373","Phoebe",2136
"9830","Haley",2132
"17110","Makenna",2130
"22532","Selena",2128
"14399","Kenzie",2123
"19526","Nina",2116
"2361","Annie",2115
"16157","Lilah",2109
"2162","Angel",2108
"24926","Vera",2102
"8924","Fatima",2101
"4099","Blakely",2091
"10051","Haven",2089
"16074","Lexi",2069
"6434","Danielle",2067
"21445","River",2063
"22841","Shelby",2050
"636","Adrianna",2045
"16829","Maddison",2026
"5292","Catalina",2023
"16866","Madilyn",2021
"23151","Skyler",2019
"1644","Amanda",2012
"16846","Madeleine",2012
"456","Addilyn",2005
"6433","Daniella",1999
"2661","Arielle",1996
"19760","Nyla",1993
"20681","Raelyn",1985
"5548","Chelsea",1982
"16108","Lia",1971
"13461","Kamila",1968
"12150","Jenna",1963
"15704","Laura",1963
"13934","Kayleigh",1951
"13827","Katie",1934
"10144","Heaven",1933
"1383","Alison",1930
"895","Ainsley",1926
"14280","Kendra",1914
"8188","Ember",1904
"8234","Emersyn",1895
"8493","Erin",1889
"1281","Alexia",1881
"11018","Jada",1881
"358","Ada",1875
"18809","Myla",1861
"18877","Nadia",1856
"12797","Journee",1851
"21925","Rylie",1847
"4093","Blake",1842
"5055","Camilla",1842
"13819","Kathryn",1841
"1716","Amber",1838
"10159","Heidi",1838
"9535","Gracelyn",1828
"4833","Cadence",1826
"8965","Felicity",1823
"26098","Zara",1823
"8109","Elsie",1820
"5673","Christina",1816
"2985","Ashlyn",1811
"4540","Briella",1811
"22050","Sage",1810
"14212","Kelsey",1802
"24197","Thea",1801
"15283","Kyla",1797
"2659","Ariella",1793
"21998","Sabrina",1793
"13899","Kaydence",1790
"1501","Alondra",1788
"14882","Kira",1781
"3032","Aspen",1770
"1653","Amara",1767
"13497","Kamryn",1767
"15889","Leia",1767
"1345","Alicia",1763
"4584","Brinley",1763
"18350","Mikayla",1762
"15574","Lana",1761
"9144","Freya",1757
"5585","Cheyenne",1750
"8564","Esmeralda",1744
"9391","Gia",1741
"22461","Scarlet",1730
"21135","Remi",1728
"1838","Amira",1724
"9536","Gracelynn",1707
"4047","Bianca",1706
"24937","Veronica",1690
"16374","Logan",1685
"12972","Juniper",1679
"16032","Leslie",1679
"1487","Allyson",1677
"5177","Carmen",1675
"6489","Daphne",1673
"12829","Joy",1668
"14722","Kiara",1663
"3550","Aylin",1654
"7550","Dylan",1651
"2613","Ariah",1647
"5164","Carly",1644
"23133","Skye",1643
"7997","Elle",1641
"14336","Kennedi",1640
"5076","Camryn",1638
"2986","Ashlynn",1628
"18497","Miracle",1626
"2061","Anaya",1624
"2496","April",1621
"3337","Averie",1621
"9708","Gwendolyn",1615
"6204","Dahlia",1613
"17992","Mckinley",1613
"26464","Zuri",1596
"2307","Annalise",1595
"18041","Megan",1593
"13138","Kaia",1581
"10170","Helen",1575
"17282","Mallory",1567
"2272","Annabella",1563
"8703","Evelynn",1561
"23027","Sierra",1547
"23935","Tatum",1543
"9959","Harlow",1538
"12448","Jimena",1520
"16926","Maeve",1515
"19761","Nylah",1515
"9092","Francesca",1506
"5190","Carolina",1501
"15299","Kyleigh",1496
"22585","Serena",1494
"4248","Braelynn",1485
"25553","Yaretzi",1485
"4507","Briana",1482
"17273","Maliyah",1481
"11886","Jayleen",1466
"25067","Viviana",1463
"4006","Bethany",1450
"193","Abby",1445
"19389","Nia",1445
"16857","Madelynn",1437
"16761","Macie",1436
"12014","Jazmin",1434
"15911","Leighton",1432
"16526","Luciana",1419
"1210","Alejandra",1418
"3832","Baylee",1414
"16423","Lorelei",1414
"18458","Millie",1412
"20374","Phoenix",1412
"1163","Aleah",1406
"17213","Malaysia",1405
"16799","Macy",1400
"8742","Evie",1395
"17552","Marlee",1391
"476","Addyson",1385
"8213","Emely",1380
"8688","Eve",1375
"17488","Marilyn",1374
"1663","Amari",1370
"19203","Nayeli",1361
"12988","Justice",1360
"22338","Sarai",1360
"2176","Angelica",1358
"21864","Ryan",1357
"22528","Selah",1354
"25234","Willa",1354
"11540","Janelle",1340
"21087","Regina",1337
"12921","Julie",1336
"21697","Rosemary",1333
"26109","Zariah",1332
"5289","Cataleya",1329
"9090","Frances",1323
"3130","Aubrie",1322
"4246","Braelyn",1320
"12443","Jillian",1318
"18281","Michaela",1315
"13611","Karina",1313
"10796","Itzel",1305
"15434","Lacey",1305
"13762","Kassidy",1299
"1180","Aleena",1298
"20516","Priscilla",1297
"4607","Bristol",1290
"7912","Elisa",1282
"5218","Carter",1278
"12015","Jazmine",1278
"20917","Raven",1278
"4742","Brylee",1274
"8313","Emmalyn",1274
"14204","Kelly",1274
"16118","Liana",1274
"23629","Sylvia",1272
"3361","Aviana",1269
"10044","Hattie",1269
"915","Aisha",1266
"5861","Colette",1265
"5380","Celeste",1263
"11456","Jamie",1259
"4632","Brittany",1257
"15972","Lennon",1254
"16876","Madisyn",1250
"17420","Margot",1247
"9483","Giuliana",1245
"13567","Kara",1241
"13592","Karen",1239
"10319","Holly",1238
"8984","Fernanda",1235
"16868","Madilynn",1235
"1081","Alani",1227
"7645","Edith",1227
"12009","Jazlyn",1225
"15387","Kyra",1216
"5470","Charleigh",1211
"11876","Jaylah",1207
"18100","Melany",1207
"6455","Danna",1206
"15724","Lauryn",1205
"22456","Saylor",1205
"17751","Matilda",1204
"24265","Tiffany",1203
"22407","Savanna",1198
"25042","Virginia",1197
"508","Adelina",1193
"16165","Lilian",1186
"2711","Ariyah",1185
"10090","Haylee",1184
"9897","Hanna",1179
"10171","Helena",1179
"25277","Winter",1179
"5042","Cameron",1169
"1086","Alanna",1167
"13622","Karla",1163
"10197","Henley",1160
"5480","Charley",1158
"9503","Gloria",1158
"21142","Remington",1157
"22386","Sasha",1157
"5261","Cassandra",1152
"11842","Jayda",1151
"10554","Imani",1148
"5360","Cecelia",1143
"12564","Johanna",1136
"8106","Elsa",1132
"16137","Liberty",1131
"16734","Mabel",1131
"11573","Janiyah",1128
"6145","Cynthia",1127
"21045","Rebekah",1122
"23138","Skyla",1118
"1113","Alayah",1113
"17437","Mariam",1113
"22181","Samara",1111
"870","Aileen",1108
"17000","Maia",1102
"17653","Maryam",1102
"2340","Anne",1101
"6100","Crystal",1098
"15492","Lainey",1098
"3854","Beatrice",1093
"16181","Lilith",1092
"18178","Meredith",1092
"13190","Kailey",1090
"4528","Bridget",1087
"18493","Mira",1082
"17509","Marissa",1081
"3730","Bailee",1078
"3363","Avianna",1077
"4086","Blair",1077
"17462","Marie",1077
"9845","Hallie",1075
"13355","Kaliyah",1071
"18628","Monica",1069
"2457","Anya",1068
"12941","Julissa",1065
"16951","Magnolia",1057
"13948","Kaylie",1055
"18836","Myra",1053
"10096","Hayley",1041
"3615","Azalea",1040
"9230","Galilea",1040
"2223","Anika",1038
"16896","Mae",1038
"14369","Kensley",1036
"6954","Demi",1032
"8207","Emelia",1031
"6318","Dallas",1030
"7857","Elianna",1029
"5482","Charli",1028
"4348","Braylee",1027
"16809","Madalyn",1027
"5941","Coraline",1023
"21164","Renata",1019
"6694","Dayana",1017
"16200","Lillie",1016
"464","Addisyn",1013
"8723","Everleigh",1012
"11365","Jaliyah",1008
"9629","Greta",1004
"20273","Pearl",1004
"19804","Oakley",1002
"1953","Anahi",1001
"10809","Ivanna",999
"12319","Jessa",998
"2362","Annika",994
"17038","Maisie",994
"25297","Wren",992
"13100","Kaelyn",991
"18121","Melina",991
"24088","Tenley",991
"2205","Angie",990
"11090","Jaelyn",976
"2183","Angelique",974
"16228","Lilyana",972
"22894","Shiloh",969
"18335","Mikaela",968
"14777","Kimber",964
"9667","Guadalupe",962
"1227","Alena",961
"24244","Tiana",956
"18252","Miah",943
"8362","Emmy",942
"13053","Kadence",941
"11093","Jaelynn",935
"2247","Aniya",927
"12339","Jessie",924
"8252","Emilee",922
"12616","Jolene",922
"8044","Elliot",921
"1328","Alia",920
"23024","Siena",920
"23178","Sloan",919
"15995","Leona",918
"15096","Kori",914
"1053","Alaia",913
"7762","Elaine",912
"16422","Lorelai",911
"21638","Rosa",911
"13680","Karsyn",905
"8375","Emory",901
"12110","Jemma",896
"10649","Irene",895
"15070","Kora",894
"8046","Elliott",892
"19131","Nathalie",889
"498","Adele",885
"1762","Amelie",883
"21636","Rory",883
"22086","Saige",878
"2779","Armani",876
"18406","Milani",876
"2394","Ansley",873
"458","Addilynn",872
"2270","Annabel",867
"16630","Lylah",864
"934","Aitana",863
"5429","Chanel",862
"26240","Zelda",862
"24112","Teresa",861
"14325","Kenna",860
"16251","Linda",859
"5769","Clarissa",858
"17492","Marina",858
"18774","Myah",856
"5872","Collins",855
"8144","Elyse",853
"23568","Sutton",853
"10837","Ivory",852
"21750","Royal",850
"20311","Perla",849
"8004","Ellen",848
"7427","Dorothy",844
"8562","Esme",844
"1422","Aliza",843
"18013","Meadow",843
"25939","Zahra",843
"9739","Hadassah",842
"3261","Avah",837
"11826","Jaycee",836
"16259","Lindsey",836
"14737","Kiera",835
"21228","Reyna",834
"2710","Ariya",832
"15781","Laylah",832
"5388","Celine",831
"17203","Malaya",830
"23931","Tatiana",828
"11851","Jayden",826
"15710","Laurel",824
"1840","Amirah",823
"20996","Rayna",823
"7915","Elisabeth",820
"598","Adley",819
"25208","Whitney",819
"13950","Kaylin",817
"12929","Julieta",816
"13684","Karter",814
"18404","Milana",814
"19124","Natasha",812
"14304","Kenia",811
"16171","Lilianna",811
"18632","Monroe",810
"7514","Dulce",809
"15610","Laney",808
"16315","Liv",808
"4504","Bria",806
"19996","Ophelia",805
"1490","Alma",803
"17363","Mara",803
"12620","Jolie",802
"15479","Lailah",801
"15358","Kynlee",800
"21756","Royalty",800
"12734","Joselyn",799
"14318","Kenley",799
"15818","Lea",799
"7714","Eileen",797
"1112","Alaya",794
"3174","Audrina",793
"9939","Harlee",793
"16319","Livia",789
"18654","Montserrat",789
"13201","Kailyn",788
"20298","Penny",788
"1859","Amiya",786
"4382","Breanna",785
"3215","Aurelia",782
"11893","Jaylene",782
"18402","Milan",782
"1646","Amani",780
"5763","Clare",780
"16078","Lexie",780
"18426","Milena",777
"5532","Chaya",775
"13624","Karlee",773
"14494","Keyla",773
"15974","Lennox",773
"1586","Alyson",772
"22464","Scarlette",772
"26121","Zariyah",771
"8489","Erika",769
"16811","Madalynn",768
"8479","Erica",762
"11846","Jayde",762
"13279","Kalani",762
"16097","Leyla",759
"14849","Kinslee",758
"19590","Noa",757
"25330","Wynter",757
"1332","Aliana",756
"21707","Rosie",755
"2893","Aryanna",754
"3333","Averi",754
"2611","Ariadne",753
"5780","Claudia",749
"18470","Mina",748
"9703","Gwen",747
"17624","Martha",745
"5674","Christine",743
"8224","Emerie",741
"3134","Aubrielle",740
"5977","Corinne",739
"13366","Kallie",738
"4904","Caitlyn",737
"9757","Hadlee",737
"8315","Emmalynn",736
"22145","Salma",736
"5110","Cara",735
"1681","Amaris",732
"2586","Arely",730
"23126","Sky",729
"1945","Anabelle",728
"11884","Jaylee",728
"20211","Patricia",727
"21154","Remy",726
"13754","Kassandra",725
"21694","Roselyn",725
"5192","Carolyn",722
"15838","Leanna",722
"19620","Noemi",722
"6426","Danica",721
"5793","Clementine",720
"15637","Lara",719
"20171","Paola",719
"6035","Courtney",717
"12833","Joyce",717
"16297","Lisa",715
"19632","Nola",715
"10679","Isabela",713
"12011","Jazlynn",713
"23064","Simone",713
"11920","Jaylynn",712
"13223","Kairi",712
"14568","Khaleesi",711
"1797","Amia",709
"17218","Maleah",709
"9460","Giovanna",707
"11546","Janessa",707
"20886","Raquel",707
"23792","Taliyah",705
"8335","Emmeline",704
"13784","Katalina",704
"24183","Thalia",704
"1991","Analia",703
"3544","Ayleen",703
"24382","Tori",703
"8605","Estrella",702
"1637","Amalia",696
"6790","Deborah",695
"5420","Chana",694
"4903","Caitlin",692
"10391","Hunter",691
"15194","Kristina",691
"13173","Kailani",690
"947","Aiyana",688
"1087","Alannah",688
"3636","Azariah",687
"4432","Brenda",687
"19193","Naya",687
"21904","Rylan",687
"4516","Briar",686
"5712","Ciara",686
"13967","Kaylynn",685
"13795","Katelynn",684
"20226","Paulina",681
"26412","Zoie",681
"8591","Estelle",680
"5141","Carlee",679
"13816","Kathleen",675
"18636","Monserrat",675
"21868","Ryann",675
"3050","Astrid",674
"9147","Frida",673
"3889","Belen",669
"16197","Lillianna",669
"652","Adrienne",667
"5236","Casey",667
"13632","Karlie",666
"26108","Zaria",666
"5386","Celia",664
"17447","Marianna",664
"25544","Yareli",663
"9877","Hana",660
"16246","Lina",659
"26087","Zaniyah",658
"4447","Brenna",656
"19113","Nataly",656
"20224","Paula",656
"8098","Elora",655
"22271","Sandra",655
"20151","Paityn",654
"26259","Zendaya",652
"21450","Rivka",649
"10309","Holland",648
"3775","Barbara",647
"16469","Louisa",647
"18985","Nala",647
"19024","Nancy",647
"6399","Dana",646
"17521","Marjorie",646
"13181","Kailee",645
"21583","Romina",642
"5138","Carla",639
"8655","Evalyn",638
"8908","Farrah",638
"18407","Milania",638
"20421","Poppy",638
"8948","Faye",637
"20510","Princess",637
"20754","Raina",636
"8263","Emilie",635
"22365","Sariah",635
"24304","Tinley",635
"4745","Bryleigh",633
"10513","Iliana",633
"14388","Kenya",633
"2418","Antonella",631
"5336","Caylee",631
"16343","Lizbeth",631
"3481","Aya",630
"4181","Bonnie",630
"3278","Avalynn",629
"7089","Desiree",628
"19130","Nathalia",627
"19132","Nathaly",627
"9795","Hailee",624
"13136","Kai",624
"15598","Landry",624
"6282","Dalary",623
"13922","Kaylani",623
"17508","Marisol",623
"17815","Mavis",623
"10149","Heavenly",622
"1413","Aliya",621
"2085","Andi",621
"26174","Zaylee",621
"18176","Mercy",620
"25489","Yamileth",620
"574","Adilynn",618
"2287","Annalee",618
"8590","Estella",618
"22809","Shayla",617
"23423","Stevie",616
"25166","Wendy",616
"8049","Ellis",615
"16893","Madyson",615
"8309","Emmaline",612
"21121","Reina",612
"18270","Micah",610
"1944","Anabella",608
"17248","Maliah",607
"24894","Veda",607
"12367","Jewel",606
"12891","Judith",606
"12916","Julianne",606
"12545","Joelle",604
"13872","Kaya",604
"14715","Kiana",604
"4718","Bryanna",603
"10607","Ingrid",602
"13259","Kaiya",602
"26354","Zion",602
"9759","Hadleigh",601
"12769","Joslyn",600
"17556","Marleigh",600
"2890","Aryana",599
"9397","Giana",599
"10794","Itzayana",593
"2540","Aranza",592
"11704","Jasmin",591
"20162","Paloma",591
"24045","Tegan",591
"321","Abril",590
"1477","Ally",589
"1917","Amya",589
"23560","Susan",589
"25973","Zainab",587
"24983","Vienna",586
"16258","Lindsay",585
"3133","Aubriella",583
"8054","Ellison",582
"25586","Yasmin",581
"19650","Noor",578
"9839","Halle",577
"21108","Reign",576
"2564","Arden",575
"23665","Tabitha",575
"2267","Ann",570
"22777","Sharon",570
"17516","Mariyah",569
"22372","Sariyah",569
"16700","Lyra",567
"13897","Kayden",566
"1380","Alisha",565
"4571","Briley",564
"11506","Jana",564
"7897","Elin",563
"18568","Miya",563
"23887","Tara",563
"1389","Alisson",561
"1833","Aminah",561
"5558","Cherish",561
"8570","Esperanza",560
"15183","Kristen",560
"886","Aimee",558
"1248","Alessia",558
"3634","Azaria",558
"18676","Moriah",558
"926","Aislinn",557
"21239","Rhea",556
"8021","Ellianna",554
"9971","Harmoni",554
"1595","Alyvia",553
"9111","Frankie",553
"12697","Jordynn",553
"10143","Heather",552
"16470","Louise",551
"12","Aadhya",549
"21001","Rayne",549
"8352","Emmie",548
"16162","Lilia",548
"24800","Vada",548
"18065","Meilani",547
"16604","Luz",546
"24308","Tinsley",544
"11190","Jaida",543
"16231","Lilyanna",543
"5957","Cordelia",542
"7316","Dixie",541
"3908","Belle",540
"2605","Ari",539
"3124","Aubri",539
"14364","Kensington",539
"1782","America",538
"17846","Maxine",538
"15349","Kyndall",535
"9943","Harleigh",534
"3277","Avalyn",533
"18616","Mollie",533
"8301","Emmalee",532
"11908","Jaylin",532
"22335","Sarahi",532
"1335","Alianna",530
"3011","Asia",530
"3495","Ayana",529
"14801","Kimora",529
"2367","Anniston",528
"20840","Ramona",528
"23019","Sidney",526
"2421","Antonia",525
"2181","Angeline",524
"10584","India",524
"22285","Saniyah",524
"17778","Mattie",522
"1707","Amayah",521
"320","Abrielle",520
"1014","Akira",520
"17409","Maren",520
"16135","Libby",519
"14762","Kiley",517
"19100","Natalee",516
"20970","Raylee",514
"1377","Alisa",513
"1883","Amora",513
"3127","Aubrianna",513
"5427","Chandler",513
"12170","Jenny",513
"440","Addalyn",511
"18430","Miley",510
"1385","Alissa",509
"4983","Calliope",509
"11507","Janae",509
"13101","Kaelynn",509
"864","Ailani",506
"22216","Samiyah",506
"5735","Cindy",505
"11572","Janiya",505
"24464","Treasure",505
"19689","Novalee",504
"21661","Rosalyn",504
"23255","Sonia",504
"23965","Taya",504
"3167","Audriana",502
"4088","Blaire",502
"17906","Maylee",501
"5149","Carlie",500
"6305","Dalia",500
"21455","Riya",500
"5492","Charlize",499
"7318","Diya",499
"6421","Dani",498
"8621","Etta",498
"8721","Everlee",497
"21171","Renee",497
"21484","Robin",497
"21489","Robyn",496
"23630","Sylvie",496
"9419","Giavanna",495
"10640","Ireland",495
"7899","Elina",494
"25563","Yaritza",494
"16824","Maddie",492
"16937","Magdalena",492
"5019","Cambria",491
"5131","Carina",490
"18168","Mercedes",490
"6437","Danika",489
"6640","Davina",488
"7232","Diamond",488
"19995","Opal",487
"3499","Ayanna",486
"12520","Jocelynn",486
"7162","Devyn",485
"12981","Jurnee",485
"23315","Spencer",482
"24078","Temperance",482
"189","Abbigail",481
"1968","Anais",480
"3595","Ayva",480
"22090","Sailor",479
"17974","Mckayla",478
"4030","Bexley",477
"17579","Marlowe",477
"25389","Xiomara",477
"8657","Evalynn",476
"18810","Mylah",476
"21389","Rilynn",476
"23831","Tamia",476
"7003","Denise",475
"1127","Alaysia",474
"1330","Aliah",474
"21082","Regan",474
"21646","Rosalee",473
"6076","Cristina",472
"15284","Kylah",472
"19336","Neriah",472
"25205","Whitley",472
"3242","Austyn",470
"13627","Karleigh",470
"3975","Berkley",469
"14128","Keily",468
"8873","Fallon",467
"3183","August",466
"23911","Taryn",466
"18268","Micaela",465
"22485","Scout",465
"25028","Violeta",465
"22213","Samira",463
"6896","Della",462
"9060","Florence",460
"25075","Vivien",460
"8088","Elodie",459
"18988","Nalani",458
"13150","Kaidence",457
"16755","Macey",457
"20531","Promise",457
"12128","Jenesis",456
"16435","Loretta",456
"16402","Londynn",455
"84","Aanya",454
"2515","Araceli",454
"7696","Egypt",454
"19365","Neveah",453
"20550","Pyper",453
"12876","Jubilee",452
"3834","Bayleigh",450
"19114","Natalya",450
"5066","Campbell",448
"8011","Ellery",448
"14215","Kelsie",448
"17204","Malayah",448
"22867","Sherlyn",448
"20138","Paisleigh",447
"6310","Dalilah",446
"24832","Valery",446
"10335","Honesty",445
"13474","Kamiyah",445
"25268","Winnie",445
"17103","Makena",444
"20209","Patience",444
"24149","Tess",444
"15221","Krystal",443
"379","Adalee",442
"13712","Kasey",442
"17419","Margo",442
"22742","Shannon",442
"573","Adilyn",441
"18043","Meghan",441
"21965","Saanvi",440
"22540","Selina",440
"5144","Carleigh",439
"13251","Kaitlynn",439
"13462","Kamilah",439
"569","Adilene",436
"9560","Gracyn",436
"17441","Marian",436
"15862","Leela",435
"20933","Raya",435
"442","Addalynn",434
"1511","Alora",433
"16561","Luisa",432
"22144","Sally",431
"9720","Gwyneth",430
"17042","Maisy",430
"22315","Saoirse",430
"949","Aiyanna",429
"13304","Kaleigh",429
"19827","Octavia",429
"488","Adela",428
"7482","Drew",428
"23539","Sunny",427
"3845","Baylor",424
"13781","Kataleya",424
"16034","Lesly",424
"4768","Brynleigh",423
"3855","Beatrix",422
"22827","Shea",422
"7784","Elayna",420
"748","Agnes",419
"880","Ailyn",419
"1798","Amiah",418
"13613","Karis",417
"20160","Palmer",417
"24212","Theresa",417
"13644","Karma",416
"22533","Selene",416
"3902","Bellamy",415
"13467","Kamille",414
"17559","Marlene",414
"22254","Sanaa",414
"8217","Emerald",413
"15881","Legacy",413
"4398","Bree",412
"14866","Kinzley",412
"17673","Maryjane",412
"22578","Seraphina",412
"13799","Katerina",411
"18399","Milah",410
"19605","Noel",410
"25026","Viola",410
"10488","Ila",409
"23351","Stacy",409
"5366","Cecily",408
"5474","Charleston",408
"13837","Katrina",408
"20987","Raylynn",408
"446","Addelyn",407
"450","Addie",407
"20481","Preslee",407
"2349","Annelise",406
"8820","Ezra",405
"13202","Kailynn",405
"13289","Kaleah",405
"22725","Shanaya",405
"12822","Jovie",404
"16211","Lillyana",404
"3168","Audrianna",403
"17197","Malani",403
"5147","Carley",402
"5271","Cassie",402
"5464","Charity",402
"8168","Emani",401
